CWE-20	JavaScript/TypeScript	js/count-untrusted-data-external-api	Frequency counts for external APIs that are used with untrusted data
CWE-20	JavaScript/TypeScript	js/incomplete-hostname-regexp	Incomplete regular expression for hostnames
CWE-20	JavaScript/TypeScript	js/incomplete-url-scheme-check	Incomplete URL scheme check
CWE-20	JavaScript/TypeScript	js/incomplete-url-substring-sanitization	Incomplete URL substring sanitization
CWE-20	JavaScript/TypeScript	js/incorrect-suffix-check	Incorrect suffix check
CWE-20	JavaScript/TypeScript	js/missing-origin-check	Missing origin verification in postMessage handler
CWE-20	JavaScript/TypeScript	js/regex/missing-regexp-anchor	Missing regular expression anchor
CWE-20	JavaScript/TypeScript	js/overly-large-range	Overly permissive regular expression range
CWE-20	JavaScript/TypeScript	js/untrusted-data-to-external-api	Untrusted data passed to external API
CWE-20	JavaScript/TypeScript	js/useless-regexp-character-escape	Useless regular-expression character escape
CWE-20	JavaScript/TypeScript	js/bad-tag-filter	Bad HTML filtering regexp
CWE-20	JavaScript/TypeScript	js/double-escaping	Double escaping or unescaping
CWE-20	JavaScript/TypeScript	js/incomplete-html-attribute-sanitization	Incomplete HTML attribute sanitization
CWE-20	JavaScript/TypeScript	js/incomplete-multi-character-sanitization	Incomplete multi-character sanitization
CWE-20	JavaScript/TypeScript	js/incomplete-sanitization	Incomplete string escaping or encoding
CWE-20	JavaScript/TypeScript	js/untrusted-data-to-external-api-more-sources	Untrusted data passed to external API with additional heuristic sources
CWE-22	JavaScript/TypeScript	js/path-injection	Uncontrolled data used in path expression
CWE-22	JavaScript/TypeScript	js/zipslip	Arbitrary file access during archive extraction ("Zip Slip")
CWE-23	JavaScript/TypeScript	js/path-injection	Uncontrolled data used in path expression
CWE-36	JavaScript/TypeScript	js/path-injection	Uncontrolled data used in path expression
CWE-73	JavaScript/TypeScript	js/path-injection	Uncontrolled data used in path expression
CWE-73	JavaScript/TypeScript	js/template-object-injection	Template Object Injection
CWE-74	JavaScript/TypeScript	js/disabling-electron-websecurity	Disabling Electron webSecurity
CWE-74	JavaScript/TypeScript	js/enabling-electron-renderer-node-integration	Enabling Node.js integration for Electron web content renderers
CWE-74	JavaScript/TypeScript	js/path-injection	Uncontrolled data used in path expression
CWE-74	JavaScript/TypeScript	js/template-object-injection	Template Object Injection
CWE-74	JavaScript/TypeScript	js/command-line-injection	Uncontrolled command line
CWE-74	JavaScript/TypeScript	js/indirect-command-line-injection	Indirect uncontrolled command line
CWE-74	JavaScript/TypeScript	js/second-order-command-line-injection	Second order command injection
CWE-74	JavaScript/TypeScript	js/shell-command-injection-from-environment	Shell command built from environment values
CWE-74	JavaScript/TypeScript	js/shell-command-constructed-from-input	Unsafe shell command constructed from library input
CWE-74	JavaScript/TypeScript	js/unnecessary-use-of-cat	Unnecessary use of cat process
CWE-74	JavaScript/TypeScript	js/xss-through-exception	Exception text reinterpreted as HTML
CWE-74	JavaScript/TypeScript	js/reflected-xss	Reflected cross-site scripting
CWE-74	JavaScript/TypeScript	js/stored-xss	Stored cross-site scripting
CWE-74	JavaScript/TypeScript	js/html-constructed-from-input	Unsafe HTML constructed from library input
CWE-74	JavaScript/TypeScript	js/unsafe-jquery-plugin	Unsafe jQuery plugin
CWE-74	JavaScript/TypeScript	js/xss	Client-side cross-site scripting
CWE-74	JavaScript/TypeScript	js/xss-through-dom	DOM text reinterpreted as HTML
CWE-74	JavaScript/TypeScript	js/sql-injection	Database query built from user-controlled sources
CWE-74	JavaScript/TypeScript	js/code-injection	Code injection
CWE-74	JavaScript/TypeScript	js/actions/command-injection	Expression injection in Actions
CWE-74	JavaScript/TypeScript	js/bad-code-sanitization	Improper code sanitization
CWE-74	JavaScript/TypeScript	js/unsafe-code-construction	Unsafe code constructed from library input
CWE-74	JavaScript/TypeScript	js/unsafe-dynamic-method-access	Unsafe dynamic method access
CWE-74	JavaScript/TypeScript	js/bad-tag-filter	Bad HTML filtering regexp
CWE-74	JavaScript/TypeScript	js/incomplete-html-attribute-sanitization	Incomplete HTML attribute sanitization
CWE-74	JavaScript/TypeScript	js/incomplete-multi-character-sanitization	Incomplete multi-character sanitization
CWE-74	JavaScript/TypeScript	js/incomplete-sanitization	Incomplete string escaping or encoding
CWE-74	JavaScript/TypeScript	js/unsafe-html-expansion	Unsafe expansion of self-closing HTML tag
CWE-74	JavaScript/TypeScript	js/tainted-format-string	Use of externally-controlled format string
CWE-74	JavaScript/TypeScript	js/client-side-unvalidated-url-redirection	Client-side URL redirect
CWE-74	JavaScript/TypeScript	js/xpath-injection	XPath injection
CWE-74	JavaScript/TypeScript	js/prototype-polluting-assignment	Prototype-polluting assignment
CWE-74	JavaScript/TypeScript	js/prototype-pollution-utility	Prototype-polluting function
CWE-74	JavaScript/TypeScript	js/prototype-pollution	Prototype-polluting merge call
CWE-74	JavaScript/TypeScript	js/actions/pull-request-target	Checkout of untrusted code in trusted context
CWE-74	JavaScript/TypeScript	js/command-line-injection-more-sources	Uncontrolled command line with additional heuristic sources
CWE-74	JavaScript/TypeScript	js/xss-more-sources	Client-side cross-site scripting with additional heuristic sources
CWE-74	JavaScript/TypeScript	js/sql-injection-more-sources	Database query built from user-controlled sources with additional heuristic sources
CWE-74	JavaScript/TypeScript	js/code-injection-more-sources	Code injection with additional heuristic sources
CWE-74	JavaScript/TypeScript	js/tainted-format-string-more-sources	Use of externally-controlled format string with additional heuristic sources
CWE-74	JavaScript/TypeScript	js/xpath-injection-more-sources	XPath injection with additional heuristic sources
CWE-74	JavaScript/TypeScript	js/prototype-polluting-assignment-more-sources	Prototype-polluting assignment with additional heuristic sources
CWE-77	JavaScript/TypeScript	js/command-line-injection	Uncontrolled command line
CWE-77	JavaScript/TypeScript	js/indirect-command-line-injection	Indirect uncontrolled command line
CWE-77	JavaScript/TypeScript	js/second-order-command-line-injection	Second order command injection
CWE-77	JavaScript/TypeScript	js/shell-command-injection-from-environment	Shell command built from environment values
CWE-77	JavaScript/TypeScript	js/shell-command-constructed-from-input	Unsafe shell command constructed from library input
CWE-77	JavaScript/TypeScript	js/unnecessary-use-of-cat	Unnecessary use of cat process
CWE-77	JavaScript/TypeScript	js/prototype-polluting-assignment	Prototype-polluting assignment
CWE-77	JavaScript/TypeScript	js/prototype-pollution-utility	Prototype-polluting function
CWE-77	JavaScript/TypeScript	js/prototype-pollution	Prototype-polluting merge call
CWE-77	JavaScript/TypeScript	js/command-line-injection-more-sources	Uncontrolled command line with additional heuristic sources
CWE-77	JavaScript/TypeScript	js/prototype-polluting-assignment-more-sources	Prototype-polluting assignment with additional heuristic sources
CWE-78	JavaScript/TypeScript	js/command-line-injection	Uncontrolled command line
